size,time(ms)(hybrid),time(ms)(merge),cmp(hybrid),cmp(merge)
19094517,76,84,18671160,18671160
28641775,75,83,18671017,18671160
42962662,73,84,18724118,18671160
64443993,72,84,18724118,18671160
96665989,72,82,18724118,18671160
144998983,78,82,18816825,18671160
217498474,70,82,19067250,18671160
326247711,70,83,19067250,18671160
489371566,69,83,19067250,18671160
734057349,69,83,19067250,18671160
1101086023,69,83,19067250,18671160
1651629034,70,83,19067250,18671160
2147483647,70,82,19067250,18671160
2147483647,67,82,19884475,18671160
2147483647,64,83,20220104,18671160
2147483647,65,83,20220104,18671160
2147483647,64,84,20220104,18671160
2147483647,65,81,20220104,18671160
2147483647,65,82,20220104,18671160
2147483647,65,82,20220104,18671160
2147483647,65,83,20220104,18671160
2147483647,64,84,20220104,18671160
2147483647,64,83,20220104,18671160
2147483647,65,83,20220104,18671160
2147483647,65,82,20220104,18671160
2147483647,66,83,20220104,18671160
2147483647,64,82,20220104,18671160
2147483647,65,82,20220104,18671160
2147483647,65,83,21590784,18671160
2147483647,63,83,23175988,18671160
2147483647,62,83,23175988,18671160
2147483647,62,82,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,64,82,23175988,18671160
2147483647,62,83,23175988,18671160
2147483647,63,83,23175988,18671160
2147483647,62,82,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,64,83,23175988,18671160
2147483647,63,83,23175988,18671160
2147483647,63,83,23175988,18671160
2147483647,63,83,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,64,83,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,62,83,23175988,18671160
2147483647,62,83,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,64,81,23175988,18671160
2147483647,63,84,23175988,18671160
2147483647,63,83,23175988,18671160
2147483647,62,83,23175988,18671160
2147483647,63,82,23175988,18671160
2147483647,64,82,23175988,18671160
2147483647,63,83,23175988,18671160
2147483647,64,82,23175988,18671160
2147483647,65,82,23175988,18671160
2147483647,60,84,29638543,18671160
2147483647,59,83,29881716,18671160
2147483647,59,83,29881716,18671160
2147483647,60,82,29881716,18671160
2147483647,60,81,29881716,18671160
2147483647,60,82,29881716,18671160
2147483647,59,82,29881716,18671160
2147483647,60,83,29881716,18671160
2147483647,60,83,29881716,18671160
2147483647,61,82,29881716,18671160
2147483647,59,83,29881716,18671160
