size,time(ms)(hybrid),time(ms)(merge),cmp(hybrid),cmp(merge)
150,0,0,1847,898
225,0,0,3793,1469
337,0,0,4769,2413
505,0,0,9239,3902
757,0,1,12375,6284
1135,0,0,16357,10079
1702,1,0,31639,16113
2553,1,0,42701,25718
3829,1,1,81878,40735
5743,0,1,108665,64539
8614,1,2,146675,101712
12921,1,1,274896,160315
19381,2,2,367939,251858
29071,2,4,694294,394521
43606,2,4,924889,617820
65409,4,7,1735425,963593
98113,5,7,2310619,1504346
147169,8,16,3175780,2342480
220753,22,22,5765325,3643315
331129,22,40,7846329,5659640
496693,54,85,14301441,8772927
745039,78,133,19343630,13605628
1117558,97,101,26913089,21048968
1676337,122,141,47608003,32568612
2514505,179,213,65789267,50326007
3771757,265,327,116965761,77665771
5657635,432,498,160562922,119861980
8486452,676,745,286834418,184575670
12729678,944,1133,391268897,284509300
